person,category,type,description,text
Elvis_Presley,singer,A,American singer and actor (1935–1977),"['Elvis Aaron Presley (January 8, 1935 – August 16, 1977), also known simply as Elvis, was an American singer, musician and actor.', 'He is regarded as one of the most significant cultural icons of the 20th century and is often referred to as the ""King of Rock and Roll"".', 'His energized interpretations of songs and sexually provocative performance style, combined with a singularly potent mix of influences across color lines during a transformative era in race relations, led him to both great success and initial controversy.', 'Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee with his family when he was 13 years old.', 'His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African-American music to a wider audience.']"
Bob_Dylan,singer,A,"American recording artist, singer-songwriter, musician, author, artist and Nobel Laureate in 2016","['Bob Dylan (born Robert Allen Zimmerman; May 24, 1941) is an American singer-songwriter, author and visual artist.', 'Often regarded as one of the greatest songwriters of all time, Dylan has been a major figure in popular culture during a career spanning nearly 60 years.', 'Much of his most celebrated work dates from the 1960s, when songs such as ""Blowin\' in the Wind"" (1963) and ""The Times They Are a-Changin\'"" (1964) became anthems for the civil rights and anti-war movements.', 'His lyrics during this period incorporated a range of political, social, philosophical, and literary influences, defying pop music conventions and appealing to the burgeoning counterculture.', ""Following his self-titled debut album in 1962, which mainly comprised traditional folk songs, Dylan made his breakthrough as a songwriter with the release of The Freewheelin' Bob Dylan the following year.""]"
Bob_Marley,singer,A,"Jamaican singer, songwriter and musician","['Robert Nesta Marley,  (6 February 1945 – 11 May 1981) was a Jamaican singer, songwriter, and musician.', 'Considered one of the pioneers of reggae, his musical career was marked by fusing elements of reggae, ska, and rocksteady, as well as his distinctive vocal and songwriting style.', ""Marley's contributions to music increased the visibility of Jamaican music worldwide, and made him a global figure in popular culture for over a decade."", 'Over the course of his career Marley became known as a Rastafari icon, and he infused his music with a sense of spirituality.', 'He is also considered a global symbol of Jamaican music and culture and identity, and was controversial in his outspoken support for the legalization of marijuana, while he also advocated for Pan-Africanism.Born in Nine Mile, British Jamaica, Marley began his professional musical career in 1963, after forming Bob Marley and the Wailers.']"
Vladimir_Vysotsky,singer,A,"Soviet singer, songwriter, poet and actor","['Vladimir Semyonovich Vysotsky (Russian: Владимир Семёнович Высоцкий, IPA: [vlɐˈdʲimʲɪr sʲɪˈmʲɵnəvʲɪtɕ vɨˈsotskʲɪj]; 25 January 1938 – 25 July 1980) was a Soviet singer-songwriter, poet, and actor whose career had an immense and enduring effect on Soviet culture.', 'He became widely known for his unique singing style and for his lyrics, which featured social and political commentary in often humorous street jargon.', 'He was also a prominent stage and screen actor.', ""Though his work was largely ignored by the official Soviet cultural establishment, he achieved remarkable fame during his lifetime, and to this day exerts significant influence on many of Russia's popular musicians and actors years after his death."", 'Vladimir Vysotsky was born in Moscow at the 3rd Meshchanskaya St. (61/2) maternity hospital.']"
Patti_Smith,singer,A,"American singer-songwriter, poet and visual artist","['Patricia Lee Smith (born December 30, 1946) is an American singer-songwriter, musician, author, and poet who became an influential component of the New York City punk rock movement with her 1975 debut album Horses.Called the ""punk poet laureate"", Smith fused rock and poetry in her work.', 'Her most widely known song is ""Because the Night"", which was co-written with Bruce Springsteen.', 'It reached number 13 on the Billboard Hot 100 chart in 1978 and number five in the U.K.', 'In 2005, Smith was named a Commander of the Ordre des Arts et des Lettres by the French Ministry of Culture.', 'In 2007, she was inducted into the Rock and Roll Hall of Fame.On November 17, 2010, Smith won the National Book Award for her memoir Just Kids.']"
Brigitte_Fontaine,singer,A,French poet and artist,"['Brigitte Fontaine, (born 24 June 1939) is a singer of avant-garde music.', 'She has employed numerous unusual musical styles, melding rock and roll, folk, jazz, electronica, spoken word poetry, and world.', 'She has collaborated with Stereolab, Michel Colombier, Jean-Claude Vannier, Areski Belkacem, Gotan Project, Sonic Youth, Antoine Duhamel, Grace Jones, Noir Désir, Archie Shepp, Arno, and The Art Ensemble of Chicago.', 'She is also a novelist, playwright, poet, and actress.', 'The daughter of two teachers, Brigitte Fontaine developed her taste for writing and drama very early.']"
Neil_Young,singer,A,"Canadian-American guitarist, singer and songwriter","['Neil Percival Young  (born November 12, 1945) is a Canadian-American singer-songwriter, musician, and activist.', 'After embarking on a music career in Winnipeg in the 1960s, Young moved to Los Angeles, joining Buffalo Springfield with Stephen Stills, Richie Furay and others.', 'Since the beginning of his solo career with his backing band Crazy Horse, Young has released many critically acclaimed and important albums, such as After the Gold Rush, Everybody Knows This Is Nowhere, and Harvest.', 'Young has received several Grammy and Juno Awards.', 'The Rock and Roll Hall of Fame inducted him twice: in 1995 as a solo artist and in 1997 as a member of Buffalo Springfield.']"
Kate_Bush,singer,A,English musician,"['Catherine Bush  (born 30 July 1958) is an English singer, songwriter, musician, dancer and record producer.', 'In 1978, aged 19, she topped the UK Singles Chart for four weeks with her debut single ""Wuthering Heights"", becoming the first female artist to achieve a UK number one with a self-written song.', 'Bush has since released 25 UK Top 40 singles, including the Top 10 hits ""The Man with the Child in His Eyes"", ""Babooshka"", ""Running Up That Hill"", ""Don\'t Give Up"" (a duet with Peter Gabriel), and ""King of the Mountain"".', 'All 10 of her studio albums reached the UK Top 10, including the UK number one albums Never for Ever (1980), Hounds of Love (1985), and the compilation The Whole Story (1986).', 'She was the first British solo female artist to top the UK album charts and the first female artist to enter the album chart at number one.Bush began writing songs at 11.']"
Stevie_Wonder,singer,A,"American singer, songwriter, musician and record producer","['Stevland Hardaway Morris (né Judkins; born May 13, 1950), known professionally as Stevie Wonder, is an American singer, songwriter, musician and record producer.', 'A prominent figure in popular music during the second half of the 20th century, Wonder is one of the most successful songwriters and musicians.', 'A virtual one-man band, his use of synthesizers and further electronic musical instruments during the 1970s reshaped the conventions of R&B.', 'He also helped drive the genre into the album era, crafting his LPs as cohesive, consistent socially conscious statements with complex compositions.', 'Wonder is often hailed as a ""genius"", and has been credited as a pioneer and influence to musicians of various genres including rhythm and blues, pop, soul, gospel, funk, and jazz.']"
John_Lennon,singer,A,"English singer and songwriter, founding member of The Beatles (1940-1980)","['John Winston Ono Lennon (born John Winston Lennon; 9 October 1940 – 8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as the founder, co-lead vocalist, and rhythm guitarist of the Beatles.', 'His songwriting partnership with Paul McCartney remains the most successful in history.', 'In 1969, he started the Plastic Ono Band with his second wife, Yoko Ono.', ""After the Beatles disbanded in 1970, Lennon continued his career as a solo artist and as Ono's collaborator."", 'Born in Liverpool, Lennon became involved in the skiffle craze as a teenager.']"
Bruce_Springsteen,singer,A,"American musician, singer, and composer","['Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American singer, songwriter, and musician who is both a solo artist and the leader of the E Street Band.', 'Originally from the Jersey Shore, he received critical acclaim for his early 1970s albums and attained worldwide fame upon the release of Born to Run in 1975.', 'During a career that has spanned five decades, Springsteen has become known for his poetic, socially conscious lyrics and energetic stage performances, sometimes lasting up to four hours in length.', 'He has been nicknamed ""The Boss"".', 'He has recorded both rock albums and folk-oriented works, and his lyrics often address the experiences and struggles of working-class Americans.']"
Leonard_Cohen,singer,A,Canadian poet and singer-songwriter,"['Leonard Norman Cohen  (September 21, 1934 – November 7, 2016) was a Canadian singer-songwriter, poet, and novelist.', 'His work explored religion, politics, isolation, depression, sexuality, loss, death and romantic relationships.', 'Cohen was inducted into the Canadian Music Hall of Fame, the Canadian Songwriters Hall of Fame, and the Rock and Roll Hall of Fame.', ""He was invested as a Companion of the Order of Canada, the nation's highest civilian honour."", 'In 2011, Cohen received one of the Prince of Asturias Awards for literature and the ninth Glenn Gould Prize.']"
Alexandra_Stan,singer,A,Romanian singer-songwriter,"['Alexandra Ioana Stan (born 10 June 1989) is a Romanian singer-songwriter.', 'Born in the city of Constanța, she made her worldwide breakthrough with the 2010 single ""Mr. Saxobeat"", which was written and produced by Marcel Prodan and Andrei Nemirschi.', 'They had previously discovered Stan at a karaoke bar in 2009 and signed her to their label, Maan Records.', '""Mr. Saxobeat"" had followed the singer\'s debut single, ""Lollipop (Param Pam Pam)"" (2009), which brought her moderate fame in Romania.', '""Mr. Saxobeat"" quickly achieved commercial success locally and abroad, reaching number one in several countries and gathering various certifications.']"
Janis_Joplin,singer,A,American singer and songwriter,"['Janis Lyn Joplin (January 19, 1943 – October 4, 1970) was an American singer-songwriter who sang rock, soul and blues music.', 'One of the most successful and widely known rock stars of her era, she was noted for her powerful mezzo-soprano vocals and ""electric"" stage presence.In 1967, Joplin rose to fame following an appearance at Monterey Pop Festival, where she was the lead singer of the then little-known San Francisco psychedelic rock band Big Brother and the Holding Company.', 'After releasing two albums with the band, she left Big Brother to continue as a solo artist with her own backing groups, first the Kozmic Blues Band and then the Full Tilt Boogie Band.', 'She appeared at the Woodstock festival and the Festival Express train tour.', 'Five singles by Joplin reached the Billboard Hot 100, including a cover of the Kris Kristofferson song ""Me and Bobby McGee"", which reached number one in March 1971.']"
Cyndi_Lauper,singer,A,"American recording artist; singer, songwriter, actress and activist","['Cynthia Ann Stephanie Lauper (born June 22, 1953) is an American singer, songwriter, actress and activist.', 'Her career has spanned over 40 years.', 'Her album She\'s So Unusual (1983) was the first debut album by a female artist to achieve four top-five hits on the Billboard Hot 100—""Girls Just Want to Have Fun"", ""Time After Time"", ""She Bop"", and ""All Through the Night""—and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985.', 'Her success continued with the soundtrack for the motion picture The Goonies and her second record True Colors (1986).', 'This album included the number one single ""True Colors"" and ""Change of Heart"", which peaked at number three.']"
