person,text,processed_text,description,processed_description,type,category
Elvis_Presley,"['Elvis Aaron Presley (January 8, 1935 – August 16, 1977), also known simply as Elvis, was an American singer, musician and actor.', 'He is regarded as one of the most significant cultural icons of the 20th century and is often referred to as the ""King of Rock and Roll"".', 'His energized interpretations of songs and sexually provocative performance style, combined with a singularly potent mix of influences across color lines during a transformative era in race relations, led him to both great success and initial controversy.', 'Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee with his family when he was 13 years old.', 'His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African-American music to a wider audience.']","[ 'elvis aaron presley ( january 8 , 1935 – august 16 , 1977 ) , also known simply elvis , american singer , musician actor . ' , 'he regarded one significant cultural icons 20th century often referred `` king rock roll '' . ' , 'his energized interpretations songs sexually provocative performance style , combined singularly potent mix influences across color lines transformative era race relations , led great success initial controversy . ' , 'presley born tupelo , mississippi , relocated memphis , tennessee family 13 years old . ' , 'his music career began 1954 , recording sun records producer sam phillips , wanted bring sound african-american music wider audience . ' ]",American singer and actor (1935–1977),american singer actor ( 1935–1977 ),A,singer
Bob_Dylan,"['Bob Dylan (born Robert Allen Zimmerman; May 24, 1941) is an American singer-songwriter, author and visual artist.', 'Often regarded as one of the greatest songwriters of all time, Dylan has been a major figure in popular culture during a career spanning nearly 60 years.', 'Much of his most celebrated work dates from the 1960s, when songs such as ""Blowin\' in the Wind"" (1963) and ""The Times They Are a-Changin\'"" (1964) became anthems for the civil rights and anti-war movements.', 'His lyrics during this period incorporated a range of political, social, philosophical, and literary influences, defying pop music conventions and appealing to the burgeoning counterculture.', ""Following his self-titled debut album in 1962, which mainly comprised traditional folk songs, Dylan made his breakthrough as a songwriter with the release of The Freewheelin' Bob Dylan the following year.""]","[ 'bob dylan ( born robert allen zimmerman ; may 24 , 1941 ) american singer-songwriter , author visual artist . ' , 'often regarded one greatest songwriters time , dylan major figure popular culture career spanning nearly 60 years . ' , 'much celebrated work dates 1960s , songs `` blowin\ ' wind '' ( 1963 ) `` times a-changin\ ' '' ( 1964 ) became anthems civil rights anti-war movements . ' , 'his lyrics period incorporated range political , social , philosophical , literary influences , defying pop music conventions appealing burgeoning counterculture . ' , `` following self-titled debut album 1962 , mainly comprised traditional folk songs , dylan made breakthrough songwriter release freewheelin ' bob dylan following year . '' ]","American recording artist, singer-songwriter, musician, author, artist and Nobel Laureate in 2016","american recording artist , singer-songwriter , musician , author , artist nobel laureate 2016",A,singer
Bob_Marley,"['Robert Nesta Marley,  (6 February 1945 – 11 May 1981) was a Jamaican singer, songwriter, and musician.', 'Considered one of the pioneers of reggae, his musical career was marked by fusing elements of reggae, ska, and rocksteady, as well as his distinctive vocal and songwriting style.', ""Marley's contributions to music increased the visibility of Jamaican music worldwide, and made him a global figure in popular culture for over a decade."", 'Over the course of his career Marley became known as a Rastafari icon, and he infused his music with a sense of spirituality.', 'He is also considered a global symbol of Jamaican music and culture and identity, and was controversial in his outspoken support for the legalization of marijuana, while he also advocated for Pan-Africanism.Born in Nine Mile, British Jamaica, Marley began his professional musical career in 1963, after forming Bob Marley and the Wailers.']","[ 'robert nesta marley , ( 6 february 1945 – 11 may 1981 ) jamaican singer , songwriter , musician . ' , 'considered one pioneers reggae , musical career marked fusing elements reggae , ska , rocksteady , well distinctive vocal songwriting style . ' , `` marley 's contributions music increased visibility jamaican music worldwide , made global figure popular culture decade . `` , 'over course career marley became known rastafari icon , infused music sense spirituality . ' , 'he also considered global symbol jamaican music culture identity , controversial outspoken support legalization marijuana , also advocated pan-africanism.born nine mile , british jamaica , marley began professional musical career 1963 , forming bob marley wailers . ' ]","Jamaican singer, songwriter and musician","jamaican singer , songwriter musician",A,singer
Vladimir_Vysotsky,"['Vladimir Semyonovich Vysotsky (Russian: Владимир Семёнович Высоцкий, IPA: [vlɐˈdʲimʲɪr sʲɪˈmʲɵnəvʲɪtɕ vɨˈsotskʲɪj]; 25 January 1938 – 25 July 1980) was a Soviet singer-songwriter, poet, and actor whose career had an immense and enduring effect on Soviet culture.', 'He became widely known for his unique singing style and for his lyrics, which featured social and political commentary in often humorous street jargon.', 'He was also a prominent stage and screen actor.', ""Though his work was largely ignored by the official Soviet cultural establishment, he achieved remarkable fame during his lifetime, and to this day exerts significant influence on many of Russia's popular musicians and actors years after his death."", 'Vladimir Vysotsky was born in Moscow at the 3rd Meshchanskaya St. (61/2) maternity hospital.']","[ 'vladimir semyonovich vysotsky ( russian : владимир семёнович высоцкий , ipa : [ vlɐˈdʲimʲɪr sʲɪˈmʲɵnəvʲɪtɕ vɨˈsotskʲɪj ] ; 25 january 1938 – 25 july 1980 ) soviet singer-songwriter , poet , actor whose career immense enduring effect soviet culture . ' , 'he became widely known unique singing style lyrics , featured social political commentary often humorous street jargon . ' , 'he also prominent stage screen actor . ' , `` though work largely ignored official soviet cultural establishment , achieved remarkable fame lifetime , day exerts significant influence many russia 's popular musicians actors years death . `` , 'vladimir vysotsky born moscow 3rd meshchanskaya st. ( 61/2 ) maternity hospital . ' ]","Soviet singer, songwriter, poet and actor","soviet singer , songwriter , poet actor",A,singer
Patti_Smith,"['Patricia Lee Smith (born December 30, 1946) is an American singer-songwriter, musician, author, and poet who became an influential component of the New York City punk rock movement with her 1975 debut album Horses.Called the ""punk poet laureate"", Smith fused rock and poetry in her work.', 'Her most widely known song is ""Because the Night"", which was co-written with Bruce Springsteen.', 'It reached number 13 on the Billboard Hot 100 chart in 1978 and number five in the U.K.', 'In 2005, Smith was named a Commander of the Ordre des Arts et des Lettres by the French Ministry of Culture.', 'In 2007, she was inducted into the Rock and Roll Hall of Fame.On November 17, 2010, Smith won the National Book Award for her memoir Just Kids.']","[ 'patricia lee smith ( born december 30 , 1946 ) american singer-songwriter , musician , author , poet became influential component new york city punk rock movement 1975 debut album horses.called `` punk poet laureate '' , smith fused rock poetry work . ' , 'her widely known song `` night '' , co-written bruce springsteen . ' , 'it reached number 13 billboard hot 100 chart 1978 number five u.k. ' , 'in 2005 , smith named commander ordre des arts et des lettres french ministry culture . ' , 'in 2007 , inducted rock roll hall fame.on november 17 , 2010 , smith national book award memoir kids . ' ]","American singer-songwriter, poet and visual artist","american singer-songwriter , poet visual artist",A,singer
Brigitte_Fontaine,"['Brigitte Fontaine, (born 24 June 1939) is a singer of avant-garde music.', 'She has employed numerous unusual musical styles, melding rock and roll, folk, jazz, electronica, spoken word poetry, and world.', 'She has collaborated with Stereolab, Michel Colombier, Jean-Claude Vannier, Areski Belkacem, Gotan Project, Sonic Youth, Antoine Duhamel, Grace Jones, Noir Désir, Archie Shepp, Arno, and The Art Ensemble of Chicago.', 'She is also a novelist, playwright, poet, and actress.', 'The daughter of two teachers, Brigitte Fontaine developed her taste for writing and drama very early.']","[ 'brigitte fontaine , ( born 24 june 1939 ) singer avant-garde music . ' , 'she employed numerous unusual musical styles , melding rock roll , folk , jazz , electronica , spoken word poetry , world . ' , 'she collaborated stereolab , michel colombier , jean-claude vannier , areski belkacem , gotan project , sonic youth , antoine duhamel , grace jones , noir désir , archie shepp , arno , art ensemble chicago . ' , 'she also novelist , playwright , poet , actress . ' , 'the daughter two teachers , brigitte fontaine developed taste writing drama early . ' ]",French poet and artist,french poet artist,A,singer
Neil_Young,"['Neil Percival Young  (born November 12, 1945) is a Canadian-American singer-songwriter, musician, and activist.', 'After embarking on a music career in Winnipeg in the 1960s, Young moved to Los Angeles, joining Buffalo Springfield with Stephen Stills, Richie Furay and others.', 'Since the beginning of his solo career with his backing band Crazy Horse, Young has released many critically acclaimed and important albums, such as After the Gold Rush, Everybody Knows This Is Nowhere, and Harvest.', 'Young has received several Grammy and Juno Awards.', 'The Rock and Roll Hall of Fame inducted him twice: in 1995 as a solo artist and in 1997 as a member of Buffalo Springfield.']","[ 'neil percival young ( born november 12 , 1945 ) canadian-american singer-songwriter , musician , activist . ' , 'after embarking music career winnipeg 1960s , young moved los angeles , joining buffalo springfield stephen stills , richie furay others . ' , 'since beginning solo career backing band crazy horse , young released many critically acclaimed important albums , gold rush , everybody knows nowhere , harvest . ' , 'young received several grammy juno awards . ' , 'the rock roll hall fame inducted twice : 1995 solo artist 1997 member buffalo springfield . ' ]","Canadian-American guitarist, singer and songwriter","canadian-american guitarist , singer songwriter",A,singer
Kate_Bush,"['Catherine Bush  (born 30 July 1958) is an English singer, songwriter, musician, dancer and record producer.', 'In 1978, aged 19, she topped the UK Singles Chart for four weeks with her debut single ""Wuthering Heights"", becoming the first female artist to achieve a UK number one with a self-written song.', 'Bush has since released 25 UK Top 40 singles, including the Top 10 hits ""The Man with the Child in His Eyes"", ""Babooshka"", ""Running Up That Hill"", ""Don\'t Give Up"" (a duet with Peter Gabriel), and ""King of the Mountain"".', 'All 10 of her studio albums reached the UK Top 10, including the UK number one albums Never for Ever (1980), Hounds of Love (1985), and the compilation The Whole Story (1986).', 'She was the first British solo female artist to top the UK album charts and the first female artist to enter the album chart at number one.Bush began writing songs at 11.']","[ 'catherine bush ( born 30 july 1958 ) english singer , songwriter , musician , dancer record producer . ' , 'in 1978 , aged 19 , topped uk singles chart four weeks debut single `` wuthering heights '' , becoming first female artist achieve uk number one self-written song . ' , 'bush since released 25 uk top 40 singles , including top 10 hits `` man child eyes '' , `` babooshka '' , `` running hill '' , `` don\'t give '' ( duet peter gabriel ) , `` king mountain '' . ' , 'all 10 studio albums reached uk top 10 , including uk number one albums never ever ( 1980 ) , hounds love ( 1985 ) , compilation whole story ( 1986 ) . ' , 'she first british solo female artist top uk album charts first female artist enter album chart number one.bush began writing songs 11 . ' ]",English musician,english musician,A,singer
Stevie_Wonder,"['Stevland Hardaway Morris (né Judkins; born May 13, 1950), known professionally as Stevie Wonder, is an American singer, songwriter, musician and record producer.', 'A prominent figure in popular music during the second half of the 20th century, Wonder is one of the most successful songwriters and musicians.', 'A virtual one-man band, his use of synthesizers and further electronic musical instruments during the 1970s reshaped the conventions of R&B.', 'He also helped drive the genre into the album era, crafting his LPs as cohesive, consistent socially conscious statements with complex compositions.', 'Wonder is often hailed as a ""genius"", and has been credited as a pioneer and influence to musicians of various genres including rhythm and blues, pop, soul, gospel, funk, and jazz.']","[ 'stevland hardaway morris ( né judkins ; born may 13 , 1950 ) , known professionally stevie wonder , american singer , songwriter , musician record producer . ' , ' prominent figure popular music second half 20th century , wonder one successful songwriters musicians . ' , ' virtual one-man band , use synthesizers electronic musical instruments 1970s reshaped conventions r & b . ' , 'he also helped drive genre album era , crafting lps cohesive , consistent socially conscious statements complex compositions . ' , 'wonder often hailed `` genius '' , credited pioneer influence musicians various genres including rhythm blues , pop , soul , gospel , funk , jazz . ' ]","American singer, songwriter, musician and record producer","american singer , songwriter , musician record producer",A,singer
John_Lennon,"['John Winston Ono Lennon (born John Winston Lennon; 9 October 1940 – 8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as the founder, co-lead vocalist, and rhythm guitarist of the Beatles.', 'His songwriting partnership with Paul McCartney remains the most successful in history.', 'In 1969, he started the Plastic Ono Band with his second wife, Yoko Ono.', ""After the Beatles disbanded in 1970, Lennon continued his career as a solo artist and as Ono's collaborator."", 'Born in Liverpool, Lennon became involved in the skiffle craze as a teenager.']","[ 'john winston ono lennon ( born john winston lennon ; 9 october 1940 – 8 december 1980 ) english singer , songwriter , musician peace activist achieved worldwide fame founder , co-lead vocalist , rhythm guitarist beatles . ' , 'his songwriting partnership paul mccartney remains successful history . ' , 'in 1969 , started plastic ono band second wife , yoko ono . ' , `` beatles disbanded 1970 , lennon continued career solo artist ono 's collaborator . `` , 'born liverpool , lennon became involved skiffle craze teenager . ' ]","English singer and songwriter, founding member of The Beatles (1940-1980)","english singer songwriter , founding member beatles ( 1940-1980 )",A,singer
